tau,delay_model,delay_actual,initial_clearance,min_h,min_distance,min_psi2,max_command_norm,infeasible_steps,braking_steps
0.43,0.0,0.05,1.2,0.0070100881133603465,0.8043693729334556,-6.661338147750939e-16,0.8,0,0
0.43,0.22,0.22,0.4,0.002489205748756551,0.8015542437968604,-8.413408858487514e-16,0.5099869043285814,0,0
0.43,0.22,0.24,0.4,0.002112794854187583,0.8013194087591962,-6.38378239159465e-16,0.5099869043285814,0,0
0.43,0.22,0.27,0.4,0.0016019641108915295,0.8010006018168099,-7.216449660063518e-16,0.5109069232738213,0,0
0.43,0.22,0.22,0.8,0.006602635494278308,0.8041160584730779,-8.881784197001252e-16,0.8,0,0
0.43,0.22,0.24,0.8,0.005649053439602647,0.8035229016273293,-6.661338147750939e-16,0.8,0,0
0.43,0.22,0.27,0.8,0.0043161790997072735,0.8026930790157016,-4.996003610813204e-16,0.8,0,0
0.43,0.22,0.22,1.2,0.015689401503770406,0.8097465044714738,-8.881784197001252e-16,0.8,0,0
0.43,0.22,0.24,1.2,0.01385644044810641,0.808613900726488,-8.881784197001252e-16,0.8,0,0
0.43,0.22,0.27,1.2,0.01117774060452792,0.8069558479895464,-8.881784197001252e-16,0.8,0,0
0.55,0.0,0.0,0.4,0.0017941654053462708,0.8011205685821244,-5.212844045310305e-16,0.6179166666666668,0,0
0.55,0.0,0.02,0.4,0.0016339439363729502,0.8010205639909459,-7.999243628598052e-16,0.6179166666666668,0,0
0.55,0.0,0.05,0.4,0.0014282194730665942,0.8008921397248613,-7.216449660063518e-16,0.6199945202748336,0,0
0.55,0.0,0.0,0.8,0.0051094065589455395,0.8031870308707342,-5.186823193170653e-16,0.8,0,0
0.55,0.0,0.02,0.8,0.0046926682856918145,0.8029275610450123,-8.881784197001252e-16,0.8,0,0
0.55,0.0,0.05,0.8,0.004141637221838357,0.8025843489763792,-8.881784197001252e-16,0.8,0,0
0.55,0.0,0.0,1.2,0.012940299139037825,0.8080472134343624,-8.881784197001252e-16,0.8,0,0
0.55,0.0,0.02,1.2,0.012061866663631071,0.8075034778028087,-6.343666911212686e-16,0.8,0,0
0.55,0.0,0.05,1.2,0.01085808970345159,0.8067577639561033,-5.831923485799528e-16,0.8,0,0
0.55,0.22,0.22,0.4,0.002640776414584267,0.8016487861991587,-6.054184931159057e-16,0.6260395793362761,0,0
0.55,0.22,0.24,0.4,0.002415356448502437,0.8015081761582364,-5.689893001203927e-16,0.6260395793362761,0,0
0.55,0.22,0.27,0.4,0.0021206388444924285,0.8013243031660107,-6.241751906999049e-16,0.6275434819959312,0,0
0.55,0.22,0.22,0.8,0.007585967521801296,0.8047272628175346,-6.862999751833243e-16,0.8,0,0
0.55,0.22,0.24,0.8,0.007012583546518347,0.8043709241056134,-4.440892098500626e-16,0.8,0,0
0.55,0.22,0.27,0.8,0.006235462090709465,0.8038877173403693,-9.011888457699513e-16,0.8,0,0
0.55,0.22,0.22,1.2,0.019210268361848692,0.8119176487562324,-5.629177679544739e-16,0.8,0,0
0.55,0.22,0.24,1.2,0.018042192069345986,0.8111979980678861,-6.739400704169896e-16,0.8,0,0
0.55,0.22,0.27,1.2,0.016410935784455294,0.8101919129344944,-5.080571380267074e-16,0.8,0,0
