t,x,y,h,correction_norm,distance_obs1,physical_margin_obs1,filter_margin_obs1,distance_obs2,physical_margin_obs2,filter_margin_obs2
3.999999999999993783e+00,2.623429234114030617e+00,1.402707421941595145e+00,1.160259032684338187e+01,2.200250334539202279e-03,3.602790212627426492e+00,3.152790212627426314e+00,3.002790212627426403e+00,5.465415833502367704e+00,4.865415833502368059e+00,4.715415833502367704e+00
4.049999999999993605e+00,2.615743351241349934e+00,1.419462067371501046e+00,1.151126766893094278e+01,2.202018962115892195e-03,3.590110406804884580e+00,3.140110406804884846e+00,2.990110406804884491e+00,5.456959752155226440e+00,4.856959752155226795e+00,4.706959752155226440e+00
4.099999999999993427e+00,2.607971853892687708e+00,1.436069053131045603e+00,1.141975285041272592e+01,2.204718737848749156e-03,3.577446301344852309e+00,3.127446301344852131e+00,2.977446301344852220e+00,5.448473569705875263e+00,4.848473569705875619e+00,4.698473569705875263e+00
4.149999999999993250e+00,2.600103413070667724e+00,1.452538025928366228e+00,1.132804736669232959e+01,2.208206245536242698e-03,3.564782775806107473e+00,3.114782775806107296e+00,2.964782775806107384e+00,5.439944463040060185e+00,4.839944463040060540e+00,4.689944463040060185e+00
4.199999999999993072e+00,2.592128152371533378e+00,1.468877948369032849e+00,1.123615639000895960e+01,2.212349828478509927e-03,3.552106390737059360e+00,3.102106390737059627e+00,2.952106390737059272e+00,5.431361202472497318e+00,4.831361202472497673e+00,4.681361202472497318e+00
4.249999999999992895e+00,2.584037550460470900e+00,1.485097116637826176e+00,1.114408825415804571e+01,2.217029165389032899e-03,3.539405286671745809e+00,3.089405286671746076e+00,2.939405286671745721e+00,5.422714043934938388e+00,4.822714043934938744e+00,4.672714043934938388e+00
4.299999999999992717e+00,2.575824344287171996e+00,1.501203180392727043e+00,1.105185398001507657e+01,2.222134812309011030e-03,3.526669082623586249e+00,3.076669082623586071e+00,2.926669082623586160e+00,5.413994622143436963e+00,4.813994622143437319e+00,4.663994622143436963e+00
4.349999999999992539e+00,2.567482433809598064e+00,1.517203164517319181e+00,1.095946684071067523e+01,2.227567717854841284e-03,3.513888775016821509e+00,3.063888775016821775e+00,2.913888775016821420e+00,5.405195845562980494e+00,4.805195845562980850e+00,4.655195845562980494e+00
4.399999999999992362e+00,2.559006788878895211e+00,1.533103492401647339e+00,1.086694196509356125e+01,2.233238718499907377e-03,3.501056637870479715e+00,3.051056637870479982e+00,2.901056637870479626e+00,5.396311793863582729e+00,4.796311793863583084e+00,4.646311793863582729e+00
4.449999999999992184e+00,2.550393358832653501e+00,1.548910010445007757e+00,1.077429597794653482e+01,2.239068019956591809e-03,3.488166124933466339e+00,3.038166124933466605e+00,2.888166124933466250e+00,5.387337618448191812e+00,4.787337618448192167e+00,4.637337618448191812e+00
4.499999999999992006e+00,2.541638985246873705e+00,1.564628013497166847e+00,1.068154667528724211e+01,2.244984670076920381e-03,3.475211774361869121e+00,3.025211774361869388e+00,2.875211774361869033e+00,5.378269446528778808e+00,4.778269446528779163e+00,4.628269446528778808e+00
4.549999999999991829e+00,2.532741318208964199e+00,1.580262270977129013e+00,1.058871273298462867e+01,2.250926028088301532e-03,3.462189116430737013e+00,3.012189116430737279e+00,2.862189116430736924e+00,5.369104289132661023e+00,4.769104289132661378e+00,4.619104289132661023e+00
4.599999999999991651e+00,2.523698736394399234e+00,1.595817053430717447e+00,1.049581344685221218e+01,2.256837234416739744e-03,3.449094584682210751e+00,2.999094584682210574e+00,2.849094584682210662e+00,5.359839953335708174e+00,4.759839953335708529e+00,4.609839953335708174e+00
4.649999999999991473e+00,2.514510271158039600e+00,1.611296159309851816e+00,1.040286850233596283e+01,2.262670684836866081e-03,3.435925430829705363e+00,2.985925430829705185e+00,2.835925430829705274e+00,5.350474958942610826e+00,4.750474958942611181e+00,4.600474958942610826e+00
4.699999999999991296e+00,2.505175534787091873e+00,1.626702941777402600e+00,1.030989777189531686e+01,2.268385512226329427e-03,3.422679643663554483e+00,2.972679643663554749e+00,2.822679643663554394e+00,5.341008459765883565e+00,4.741008459765883920e+00,4.591008459765883565e+00
