time_s,leader_x_m,leader_y_m,leader_vx_map_ms,leader_vy_map_ms,leader_v_ms,leader_yaw_rad,leader_omega_rads,follower_x_m,follower_y_m,follower_vx_map_ms,follower_vy_map_ms,follower_v_ms,follower_yaw_rad,follower_omega_rads,distance_m
0.4604,0.0695,1.7284,-0.2787,-0.1551,0.3190,0.0211,0.0027,-1.9522,1.8634,0.3999,-0.0787,0.4076,-0.1516,0.0039,2.0262
0.4703,0.0673,1.7271,-0.2787,-0.1547,0.3188,0.0203,0.0042,-1.9489,1.8626,0.4000,-0.0788,0.4077,-0.1504,0.0001,2.0207
0.4706,0.0653,1.7260,-0.2789,-0.1546,0.3188,0.0195,0.0033,-1.9459,1.8619,0.4004,-0.0793,0.4082,-0.1491,0.0021,2.0158
0.4905,0.0629,1.7247,-0.2779,-0.1534,0.3174,0.0184,0.0014,-1.9426,1.8612,0.3999,-0.0793,0.4076,-0.1458,0.0020,2.0101
0.4909,0.0607,1.7235,-0.2779,-0.1534,0.3174,0.0178,0.0014,-1.9393,1.8606,0.3999,-0.0793,0.4076,-0.1442,0.0020,2.0047
0.5104,0.0582,1.7220,-0.2777,-0.1524,0.3168,0.0171,-0.0105,-1.9359,1.8598,0.4006,-0.0794,0.4084,-0.1414,0.0040,1.9988
0.5108,0.0559,1.7207,-0.2777,-0.1524,0.3168,0.0166,-0.0105,-1.9325,1.8591,0.4014,-0.0797,0.4093,-0.1392,0.0016,1.9933
0.5304,0.0537,1.7191,-0.2778,-0.1531,0.3172,0.0160,-0.0105,-1.9292,1.8584,0.4018,-0.0798,0.4096,-0.1361,-0.0028,1.9878
0.5307,0.0521,1.7182,-0.2778,-0.1531,0.3172,0.0156,-0.0105,-1.9264,1.8579,0.4018,-0.0798,0.4096,-0.1339,-0.0028,1.9835
0.5403,0.0498,1.7168,-0.2760,-0.1536,0.3159,0.0153,-0.0002,-1.9229,1.8572,0.4015,-0.0796,0.4094,-0.1307,-0.0083,1.9777
0.5406,0.0478,1.7156,-0.2760,-0.1536,0.3159,0.0150,-0.0002,-1.9195,1.8565,0.4015,-0.0796,0.4094,-0.1286,-0.0083,1.9723
0.5605,0.0433,1.7128,-0.2739,-0.1530,0.3138,0.0141,-0.0008,-1.9160,1.8556,0.4023,-0.0798,0.4102,-0.1256,-0.0048,1.9644
0.5607,0.0433,1.7128,-0.2739,-0.1530,0.3138,0.0141,-0.0008,-1.9126,1.8548,0.4022,-0.0802,0.4102,-0.1224,-0.0038,1.9610
0.5701,0.0410,1.7113,-0.2741,-0.1533,0.3141,0.0134,-0.0010,-1.9092,1.8539,0.4032,-0.0807,0.4112,-0.1200,-0.0029,1.9554
0.5704,0.0391,1.7101,-0.2741,-0.1533,0.3141,0.0128,-0.0010,-1.9063,1.8532,0.4035,-0.0813,0.4116,-0.1162,-0.0029,1.9506
0.5904,0.0368,1.7086,-0.2725,-0.1530,0.3125,0.0122,-0.0075,-1.9028,1.8525,0.4026,-0.0810,0.4107,-0.1142,0.0009,1.9450
0.6003,0.0344,1.7071,-0.2724,-0.1534,0.3126,0.0113,-0.0083,-1.8991,1.8515,0.4032,-0.0814,0.4113,-0.1090,0.0009,1.9389
0.6005,0.0325,1.7059,-0.2724,-0.1534,0.3126,0.0105,-0.0083,-1.8961,1.8509,0.4036,-0.0818,0.4118,-0.1068,0.0039,1.9340
0.6101,0.0281,1.7033,-0.2715,-0.1537,0.3120,0.0087,-0.0076,-1.8924,1.8501,0.4035,-0.0820,0.4117,-0.1030,0.0039,1.9261
0.6103,0.0281,1.7033,-0.2715,-0.1537,0.3120,0.0087,-0.0076,-1.8892,1.8494,0.4050,-0.0826,0.4133,-0.1001,0.0035,1.9229
0.6301,0.0261,1.7020,-0.2716,-0.1547,0.3126,0.0080,-0.0056,-1.8858,1.8488,0.4047,-0.0827,0.4130,-0.0969,-0.0004,1.9175
